prize,surface,offer name,rooms ,standard,localization_info,localization_name,latitude,longitude,floor_number,rental_cost,form_of_property,extras,garage,availability,year_of_construction,type_of_building,elevator,media,security,building_material,market
329 000 zł,"48,3 m²",2-pokojowe mieszkanie przy ul. Stromej,2,do zamieszkania,Współrzędne dokładne,"Białystok, Słoneczny Stok, ul. Stroma",53.130277,23.102258,4/4,450 zł,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,1979,blok,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,wielka płyta,wtórny
316 000 zł,40 m²,Mieszkanie w zabudowie szeregowej i projekt wnętrz,2,Zapytaj,Współrzędne dokładne,"ul. Jeżynowa , Grabówka, białostocki",53.126296,23.268073,parter,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,szeregowiec,nie,brak informacji,brak informacji,brak informacji,pierwotny
807 383 zł,"93,74 m²","Apartamentowiec ""Nowe Miast0""",3,do wykończenia,Współrzędne dokładne,"Białystok, Nowe Miasto, ul. Zachodnia",53.110062,23.127139,2/2,600 zł,pełna własność,"balkon, taras",garaż/miejsce parkingowe,brak informacji,2023,apartamentowiec,nie,brak informacji,brak informacji,brak informacji,pierwotny
455 616 zł,"54,24 m²",Aprtamenty Zwycięstwa,3,do wykończenia,Współrzędne dokładne,"Białystok, Antoniuk, ul. Zwycięstwa",53.137401,23.123181,parter/4,350 zł,pełna własność,ogródek,Zapytaj,2023-11-24,2023,apartamentowiec,tak,brak informacji,brak informacji,brak informacji,pierwotny
327 846 zł,"38,57 m²",Dwupokojowe mieszkanie w cichej okolicy,2,do wykończenia,Współrzędne dokładne,"Zawady, Białystok, Białystok",53.1345,23.15513,1/2,300 zł,Zapytaj,balkon,Zapytaj,2024-04-30,2024,apartamentowiec,nie,brak informacji,brak informacji,cegła,pierwotny
340 000 zł,51 m²,3M przy ulicy Branickiego!!,3,do zamieszkania,Współrzędne dokładne,"Białystok, Piasta, ul. Jana Klemensa Branickiego",53.12728,23.1804,> 10/11,390 zł,Zapytaj,balkon,Zapytaj,2023-02-01,1974,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
285 000 zł,"62,56 m²","3 pokojowe 62,56 m2 w Osowiec Twierdza.",3,do zamieszkania,Współrzędne dokładne,"Osowiec-Twierdza, moniecki, podlaskie",53.47432,22.65568,1/4,578 zł,pełna własność,balkon,Zapytaj,brak informacji,1967,blok,nie,brak informacji,brak informacji,cegła,wtórny
245 000 zł,"48,2 m²","2 niezależne pokoje, duży balkon, wyposażone",2,Zapytaj,Współrzędne dokładne,"Zabłudów, białostocki, podlaskie",53.016397,23.32848,2/2,500 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1991,blok,nie,telewizja kablowa,brak informacji,brak informacji,wtórny
464 000 zł,"45,87 m²","Mieszkanie 2-pok. winda, ul. Leszczynowa",2,do wykończenia,Współrzędne dokładne,"Białystok, Dziesięciny, ul. Leszczynowa",53.15148,23.125718,2/2,Zapytaj,pełna własność,"balkon, ogródek",garaż/miejsce parkingowe,brak informacji,brak informacji,blok,tak,"telewizja kablowa, internet",domofon / wideofon,brak informacji,pierwotny
349 000 zł,"26,8 m²",Nowoczesny apartament w super lokalizacji !!!,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Mickiewicza, Białystok, Białystok",53.124414,23.175447,3/4,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
805 245 zł,"76,69 m²",Apartamenty Jagiellońskie Etap VI,4,do wykończenia,Współrzędne dokładne,"Białystok, Sienkiewicza, ul. Jurowiecka",53.136652,23.160703,8/10,600 zł,pełna własność,taras,Zapytaj,2024-01-01,2023,apartamentowiec,tak,brak informacji,monitoring / ochrona,brak informacji,wtórny
350 000 zł,"61,5 m²",Mieszkanie w cichej okolicy w Zambrowie,3,Zapytaj,Współrzędne dokładne,"ul. Papieża Jana Pawła II , Zambrów, zambrowski",51.91944,19.14514,4/4,830 zł,Zapytaj,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
325 000 zł,"61,9 m²",*5800 za m2*funkcjonalny rozkład*duży balkon*,3,do remontu,Współrzędne dokładne,"Białostoczek, Białystok, Białystok",53.14519,23.149098,8/11,784 zł,pełna własność,balkon,Zapytaj,brak informacji,1978,blok,tak,brak informacji,brak informacji,wielka płyta,wtórny
379 000 zł,"48,4 m²",Atrakcyjne - po remoncie - z windą - Dziesięciny,2,do zamieszkania,Współrzędne dokładne,"Białystok, Dziesięciny, ul. gen. Józefa Hallera",53.154292,23.12799,3/7,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,"telewizja kablowa, internet",brak informacji,brak informacji,wtórny
437 000 zł,"50,23 m²",***3 Pokoje W Nowszym Budownictwie***,3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Nowe Miasto, Białystok, Białystok",53.10582,23.12127,8/8,500 zł,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2010,brak informacji,tak,brak informacji,brak informacji,brak informacji,wtórny
355 000 zł,"42,87 m²",Mieszkanie 42m2 z na parterze z dużym tarasem,1,do zamieszkania,Współrzędne dokładne,"Dereniowa , Wasilków, białostocki",53.18077,23.18671,parter/4,330 zł,pełna własność,taras,Zapytaj,brak informacji,brak informacji,blok,tak,brak informacji,domofon / wideofon,brak informacji,wtórny
339 000 zł,"60,65 m²",Grajewo trzypokojowe mieszkanie na sprzedaż,3,do zamieszkania,Współrzędne dokładne,"os. Południe , Grajewo, grajewski",53.64272,22.47102,2/4,450 zł,pełna własność,balkon,garaż/miejsce parkingowe,2023-01-16,1978,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
315 000 zł,"41,72 m²",Ordonówny | 42mkw | IVp | balkon | cegła | parking,2,Zapytaj,Współrzędne dokładne,"Białystok, Antoniuk, ul. Hanki Ordonówny",53.140464,23.127939,4/4,400 zł,pełna własność,balkon,Zapytaj,brak informacji,1975,blok,nie,brak informacji,brak informacji,cegła,wtórny
464 000 zł,"72,2 m²",Klmatyczne Mieszkanie Dla Rodziny !!!,4,do zamieszkania,Współrzędne dokładne,"ul. Księcia Janusza I I, Łomża, Łomża",53.164295,22.082863,2/4,509 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,monitoring / ochrona,wielka płyta,wtórny
380 000 zł,65 m²,65 mkw_3 pokoje_Leśna Dolina_cegła,3,do remontu,Współrzędne dokładne,"Białystok, Leśna Dolina, ul. Szarych Szeregów",53.129782,23.0887,4/4,Zapytaj,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1993,blok,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,cegła,wtórny
940 000 zł,"76,5 m²","Mieszkanie, 76,50 m², Białystok",3,Zapytaj,Współrzędne dokładne,"Piasta, Białystok, Białystok",53.132148,23.182011,1/3,408 zł,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,2019,apartamentowiec,tak,brak informacji,brak informacji,cegła,wtórny
375 000 zł,45 m²,"Słoneczne, 2pokojowe mieszkanie przy lesie!!!",2,do zamieszkania,Współrzędne dokładne,"ul. Krucza , Wasilków, białostocki",53.20838,23.19951,3/3,400 zł,pełna własność,balkon,Zapytaj,2023-01-17,2013,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
519 000 zł,"61,8 m²",Ukośna | 2020r | 4 pokoje | winda | 2 balkony,4,do zamieszkania,Współrzędne dokładne,"Białystok, Antoniuk, ul. Ukośna",53.143445,23.140509,1/5,600 zł,pełna własność,balkon,Zapytaj,brak informacji,2020,blok,nie,brak informacji,"drzwi / okna antywłamaniowe, domofon / wideofon",cegła,wtórny
249 000 zł,"47,43 m²","2 pokoje, w centrum Łap, cegła",2,do zamieszkania,Współrzędne dokładne,"ul. Armii Krajowej , Łapy, białostocki",52.991807,22.880511,2/3,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,1960,blok,nie,brak informacji,brak informacji,cegła,wtórny
440 580 zł,"52,45 m²",Osiedle Harmonia | mieszkanie 2C_19,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
331 160 zł,"38,96 m²",Osiedle Harmonia | mieszkanie 2C_9,2,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
442 260 zł,"52,65 m²",Osiedle Harmonia | mieszkanie 2C_11,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
747 781 zł,"86,13 m²",Osiedle Harmonia | mieszkanie 2C_18,4,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
446 505 zł,"52,53 m²",Osiedle Harmonia | mieszkanie 2C_22,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
394 485 zł,"46,41 m²",Osiedle Harmonia | mieszkanie 2C_21,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
519 708 zł,"61,87 m²",Osiedle Harmonia | mieszkanie 2C_10,4,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
442 764 zł,"52,71 m²",Osiedle Harmonia | mieszkanie 2C_14,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
444 360 zł,"52,9 m²",Osiedle Harmonia | mieszkanie 2C_2,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
497 028 zł,"59,17 m²",Osiedle Harmonia | mieszkanie 2B_6,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
439 025 zł,"51,65 m²",Osiedle Harmonia | mieszkanie 2C_20,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
517 608 zł,"61,62 m²",Osiedle Harmonia | mieszkanie 2C_23,4,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
677 398 zł,"77,47 m²",Osiedle Harmonia | mieszkanie 2B_16,4,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
443 856 zł,"52,84 m²",Osiedle Harmonia | mieszkanie 2C_7,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
437 136 zł,"52,04 m²",Osiedle Harmonia | mieszkanie 2C_8,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
396 270 zł,"46,62 m²",Osiedle Harmonia | mieszkanie 2C_13,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
271 405 zł,"31,93 m²",Osiedle Harmonia | mieszkanie 2C_1,2,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
585 228 zł,"69,67 m²",Osiedle Harmonia | mieszkanie 2B_12,4,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,1/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
445 825 zł,"52,45 m²",Osiedle Harmonia | mieszkanie 2B_14,3,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
589 815 zł,"69,39 m²",Osiedle Harmonia | mieszkanie 2B_18,4,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,2/2,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
327 845 zł,"38,57 m²",Osiedle Harmonia | mieszkanie 2A_6,2,do wykończenia,Współrzędne dokładne,"Białystok, Zawady, ul. Lodowa",53.16114,23.125606,parter/2,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
550 000 zł,80 m²,*80m2*Parter*,3,do zamieszkania,Współrzędne dokładne,"Leśna Dolina, Białystok, Białystok",53.130809,23.08794,parter/3,550 zł,Zapytaj,balkon,garaż/miejsce parkingowe,brak informacji,2005,blok,nie,brak informacji,brak informacji,cegła,wtórny
720 000 zł,80 m²,"Mieszkanie, 80 m², Białystok",2,do zamieszkania,Współrzędne dokładne,"Centrum, Białystok, Białystok",53.137975,23.152781,3/3,388 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,2015,blok,tak,brak informacji,monitoring / ochrona,cegła,wtórny
460 000 zł,"41,97 m²","Gotowe Do Wprowadzenia* 41,97m2* ul. Czarna",2,do zamieszkania,Współrzędne dokładne,"Białystok, Centrum, ul. Czarna",53.135345,23.152685,3/7,310 zł,pełna własność,balkon,Zapytaj,brak informacji,2021,brak informacji,tak,brak informacji,brak informacji,cegła,wtórny
250 000 zł,72 m²,"Mieszkanie, 72 m², Dobrzyniówka",3,do remontu,Współrzędne dokładne,"Dobrzyniówka, białostocki, podlaskie",53.04568,23.36555,parter/2,900 zł,Zapytaj,Zapytaj,garaż/miejsce parkingowe,brak informacji,1985,blok,nie,brak informacji,brak informacji,wielka płyta,wtórny
425 000 zł,"63,8 m²",Przestronne 3 pokojowe mieszkanie do odmalowania,3,do zamieszkania,Współrzędne dokładne,"Zielone Wzgórza, Białystok, Białystok",53.118036,23.102703,4/4,510 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
308 000 zł,48 m²,48 mkw_2 oddzielne pokoje_Wysoki Stoczek_Swobodna,2,do zamieszkania,Współrzędne dokładne,"Białystok, Wysoki Stoczek, ul. Swobodna",53.146711,23.107256,4/4,430 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1986,blok,nie,"telewizja kablowa, internet, telefon",domofon / wideofon,wielka płyta,wtórny
439 000 zł,"35,41 m²",Nowe 2 pokojowe w bloku z Windą,2,do zamieszkania,Współrzędne dokładne,"Sienkiewicza, Białystok, Białystok",53.137811,23.161068,5/10,300 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,2023,brak informacji,nie,brak informacji,brak informacji,brak informacji,pierwotny
710 000 zł,"88,75 m²",Na sprzedaż Apartament +miejsce postojowe,4,do zamieszkania,Współrzędne dokładne,"ul. mjr. Stefana Buczyńskiego , Suwałki, Suwałki",54.109754,22.937334,3/4,675 zł,pełna własność,balkon,Zapytaj,brak informacji,2019,blok,tak,brak informacji,"teren zamknięty, domofon / wideofon, monitoring / ochrona",cegła,wtórny
486 900 zł,70 m²,Spokojna Okolica... 4 Pokoje.. Ul.Rumiankowa,4,Zapytaj,Współrzędne dokładne,"Białystok, Zielone Wzgórza, ul. Rumiankowa",53.12211,23.10412,3/3,600 zł,Zapytaj,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
215 000 zł,"34,9 m²","2-pokojowe, po generalnym remoncie!",2,do zamieszkania,Współrzędne dokładne,"Łapy, białostocki, podlaskie",52.99127,22.8833,parter/1,Zapytaj,pełna własność,ogródek,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,cegła,wtórny
650 000 zł,"56,25 m²",*Mieszkanie 3-pokoje*nowe budownictwo*1p*centrum*,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Białystok, Białystok",53.131945,23.137425,1/7,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,2021,apartamentowiec,tak,brak informacji,brak informacji,brak informacji,wtórny
379 000 zł,"58,8 m²",Słoneczny Stok? Dlaczego warto? Zapytaj,3,Zapytaj,Współrzędne dokładne,"Białystok, Słoneczny Stok, ul. Stroma",53.130307,23.10587,4/4,580 zł,spółdzielcze wł. z KW,balkon,garaż/miejsce parkingowe,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
410 000 zł,"50,4 m²",Częściowo wykończony apartament w Piano Park,3,do wykończenia,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Suwałki, Suwałki, podlaskie",54.10253,22.92554,parter/4,Zapytaj,pełna własność,taras,Zapytaj,brak informacji,2022,apartamentowiec,tak,brak informacji,"drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",pustak,wtórny
224 000 zł,"17,13 m²","Mieszkanie, 17,13 m², Białystok",1,Zapytaj,Współrzędne dokładne,"Centrum, Białystok, Białystok",53.134723,23.161413,parter/2,185 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
249 000 zł,"46,3 m²",Przytulne mieszkanie 3 pokojowe!!,3,do zamieszkania,Współrzędne dokładne,"Grajewo, grajewski, podlaskie",53.647156,22.45521,4/4,460 zł,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
520 000 zł,62 m²,"Mieszkanie I piętro, możliwa zamiana na dom",3,do zamieszkania,Współrzędne dokładne,"Augustów, augustowski, podlaskie",53.84335,22.9808,1,670 zł,pełna własność,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,cegła,wtórny
299 900 zł,"61,01 m²",Bardzo atrakcyjne 3 pokojowe Osowiec Twierdza,3,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Osowiec-Twierdza, moniecki, podlaskie",53.46999,22.65991,3/4,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,1985,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
360 000 zł,"73,24 m²","Mieszkanie, 73,24 m², Łomża",4,do zamieszkania,Współrzędne dokładne,"ul. Juliusza Słowackiego , Łomża, Łomża",53.166681,22.063747,3/4,446 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,1978,blok,nie,telewizja kablowa,brak informacji,wielka płyta,wtórny
419 000 zł,"49,49 m²","Wygodne, dwupokojowe mieszkanie",2,do zamieszkania,Współrzędne dokładne,"Białystok, Nowe Miasto, ul. Kazimierza Pułaskiego",53.109616,23.130866,4/7,400 zł,Zapytaj,balkon,Zapytaj,brak informacji,1992,blok,tak,brak informacji,brak informacji,wielka płyta,wtórny
329 000 zł,"60,78 m²",Mieszkanie 3-pokojowe na osiedlu Jantar,3,do zamieszkania,Współrzędne dokładne,"Łomża, Łomża, podlaskie",53.17713,22.07027,4/4,450 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
360 000 zł,"46,3 m²",*** Wygodne mieszkanie *** 46 ㎡ *** Gruntowa ***,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Białystok, Białystok, podlaskie",53.135518,23.123855,parter/4,460 zł,spółdzielcze wł. z KW,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,cegła,wtórny
354 000 zł,"45,7 m²","3pok. 45,7 m2 I piętro , garaż, Antoniuk",3,Zapytaj,Współrzędne dokładne,"Białystok, Antoniuk, ul. Antoniukowska",53.140588,23.139617,1/4,420 zł,pełna własność,balkon,Zapytaj,brak informacji,1970,blok,nie,brak informacji,system alarmowy,cegła,wtórny
169 000 zł,32 m²,**Mieszkanie**Osiedlowa**Cegła***,2,Zapytaj,Współrzędne dokładne,"ul. Osiedlowa , Łapy, białostocki",52.99365,22.88042,2/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,domofon / wideofon,cegła,wtórny
305 000 zł,"46,5 m²",*Mieszkanie W Centrum*,2,do zamieszkania,Współrzędne dokładne,"Suwałki, Suwałki, podlaskie",54.105942,22.934328,4/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
387 000 zł,"62,2 m²",***4 pokoje w Super Cenie***,4,do zamieszkania,Współrzędne dokładne,"Białystok, Przydworcowe, ul. Kardynała Stefana Wyszyńskiego",53.12969,23.13869,4/4,500 zł,spółdzielcze wł. z KW,balkon,Zapytaj,brak informacji,1976,blok,nie,brak informacji,domofon / wideofon,wielka płyta,wtórny
409 900 zł,"47,5 m²","Mieszkanie w stanie deweloperskim, Wygoda",3,Zapytaj,Współrzędne dokładne,"Wygoda, Białystok, Białystok",53.140207,23.22994,3/3,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,2023,blok,nie,brak informacji,brak informacji,brak informacji,wtórny
379 000 zł,"48,3 m²",Ciepłe mieszkanie na 1 piętrze,3,do zamieszkania,Współrzędne dokładne,"Słoneczny Stok, Białystok, Białystok",53.128955,23.104162,1/3,550 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,brak informacji,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
530 000 zł,65 m²,Atrakcyjne mieszkanie na Oś. Młodych,3,do zamieszkania,Współrzędne dokładne,"Młodych, Białystok, Białystok",53.13351,23.12097,parter/7,Zapytaj,pełna własność,Zapytaj,garaż/miejsce parkingowe,brak informacji,2012,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
420 336 zł,"38,92 m²",2-pokojowe mieszkanie z ogródkiem w Centrum,2,do wykończenia,Współrzędne dokładne,"Białystok, Centrum, ul. Jurowiecka",53.13863,23.161015,1/10,Zapytaj,pełna własność,ogródek,garaż/miejsce parkingowe,0,0,0,0,0,0,0,0
415 200 zł,"51,26 m²","OD dewelopera*bezpośrednio* 3 pokoje 351,26 m2",3,do wykończenia,Współrzędne dokładne,"Białystok, Wysoki Stoczek, ul. Hugo Kołłątaja",53.143951,23.103972,5/5,Zapytaj,pełna własność,balkon,Zapytaj,2024-02-29,2024,blok,tak,brak informacji,brak informacji,cegła,pierwotny
379 000 zł,"45,1 m²",* Przytulne 2 pokojowe mieszkanie ul. Ken *,2,do zamieszkania,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Bacieczki, Białystok, Białystok",53.150946,23.088289,2/3,380 zł,spółdzielcze własnościowe,balkon,Zapytaj,brak informacji,2007,blok,nie,brak informacji,brak informacji,cegła,wtórny
450 000 zł,62 m²,Przestronne mieszkanie na sprzedaż,3,Zapytaj,Współrzędne dokładne,"Zambrów, zambrowski, podlaskie",52.99287,22.2529,1/4,628 zł,pełna własność,balkon,Zapytaj,brak informacji,2007,blok,nie,telewizja kablowa,domofon / wideofon,pustak,wtórny
339 000 zł,"49,5 m²","Warszawska, Centrum, 49m, balkon, okazja!",3,do remontu,Współrzędne dokładne,"Centrum, Białystok, Białystok",53.127402,23.1809,8,380 zł,Zapytaj,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,brak informacji,brak informacji,wtórny
545 000 zł,"56,31 m²",** blisko Centrum ** Brak Podatku Pcc ** 2021r **,3,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Przydworcowe, Białystok, Białystok",53.131991,23.141949,4/5,Zapytaj,pełna własność,balkon,garaż/miejsce parkingowe,brak informacji,2021,apartamentowiec,tak,brak informacji,brak informacji,cegła,wtórny
584 000 zł,80 m²,"Baranowicka, nowe apartamenty na sprzedaż, 4 pokoj",4,do wykończenia,Współrzędne dokładne,"Białystok, Białystok, podlaskie",53.12495,23.214531,1/1,Zapytaj,pełna własność,balkon,Zapytaj,2023-06-29,2023,brak informacji,nie,brak informacji,brak informacji,cegła,pierwotny
299 000 zł,"41,18 m²",Idealne mieszkanie w centrum z wyposażeniem!,2,do zamieszkania,Współrzędne dokładne,"Suwałki, Suwałki, podlaskie",54.105367,22.924984,4/4,480 zł,Zapytaj,Zapytaj,Zapytaj,brak informacji,1970,blok,nie,brak informacji,brak informacji,cegła,wtórny
486 500 zł,64 m²,Baranowicka 3 pokoje z ogródkiem.,3,do wykończenia,Współrzędne dokładne,"Białystok, Białystok, podlaskie",53.12495,23.214531,parter/1,Zapytaj,pełna własność,ogródek,Zapytaj,2023-06-01,2023,brak informacji,nie,brak informacji,brak informacji,cegła,wtórny
435 000 zł,45 m²,** Centrum ** Cegła ** 10 Piętro **,2,Zapytaj,Nieruchomość znajduje się w zaznaczonym obszarze mapy. Niestety ogłoszeniodawca nie wskazał dokładnego adresu.,"Centrum, Białystok, Białystok",53.132405,23.151233,10/10,Zapytaj,pełna własność,balkon,Zapytaj,brak informacji,brak informacji,brak informacji,tak,brak informacji,brak informacji,brak informacji,wtórny
499 900 zł,"41,6 m²",Najlepsza Lokalizacja . Super Cena,2,Zapytaj,Współrzędne dokładne,"Białystok, Centrum, ul. Jurowiecka",53.13852,23.16111,4/10,Zapytaj,Zapytaj,balkon,Zapytaj,brak informacji,2022,brak informacji,nie,brak informacji,brak informacji,brak informacji,wtórny
310 000 zł,"60,5 m²",Słoneczne Mieszkanie Suwałki Centrum,3,do zamieszkania,Współrzędne dokładne,"Suwałki, Suwałki, podlaskie",54.1013,22.93005,1/2,815 zł,spółdzielcze własnościowe,Zapytaj,Zapytaj,brak informacji,brak informacji,kamienica,nie,brak informacji,brak informacji,cegła,wtórny
